month,pipeline_revenue,finance_revenue,difference,percentage_difference,classification,explanation_action
2024-01,38446071.33,38446071.33,0.0,0.0,NO MATERIAL DIFFERENCE,Revenue definitions reconcile; retain controls.
2024-02,34887085.55,34887085.55,0.0,0.0,NO MATERIAL DIFFERENCE,Revenue definitions reconcile; retain controls.
2024-03,41971649.09,42457899.09,-486250.0,-1.1452521448818582,REVENUE DEFINITION DIFFERENCE,Finance includes the documented institutional order invoiced outside the tills (+486250.00); pipeline correctly reports folder sales only.
2024-04,37958457.37,37958457.37,0.0,0.0,NO MATERIAL DIFFERENCE,Revenue definitions reconcile; retain controls.
2024-05,41764716.4,41764716.4,0.0,0.0,NO MATERIAL DIFFERENCE,Revenue definitions reconcile; retain controls.
2024-06,38987082.82,38987082.82,0.0,0.0,NO MATERIAL DIFFERENCE,Revenue definitions reconcile; retain controls.
2024-07,40295160.11,40527291.81,-232131.70000000298,-0.5727787119067381,SOURCE ISSUE,S07 lost three documented source days (20240709-20240711); finance supplied those values.
2024-08,45252181.75,45252181.75,0.0,0.0,NO MATERIAL DIFFERENCE,Revenue definitions reconcile; retain controls.
2024-09,44615037.46,44615037.46,0.0,0.0,NO MATERIAL DIFFERENCE,Revenue definitions reconcile; retain controls.
2024-10,56359195.92,56359195.92,0.0,0.0,NO MATERIAL DIFFERENCE,Revenue definitions reconcile; retain controls.
2024-11,51583838.47,51583838.47,0.0,0.0,NO MATERIAL DIFFERENCE,Revenue definitions reconcile; retain controls.
2024-12,50745259.48,50745209.0,50.479999996721745,9.94773713449909e-05,NO MATERIAL DIFFERENCE,Difference is documented bill-level rounding: finance rounds each bill to the rupee.
